Column1,Year,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Column2,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Column3,Column4,Total Renewable Energy Consumption,Total Primary Energy Consumption,Coal Consumption Percent,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels) Percent,Petroleum Consumption (Excluding Biofuels) Percent,Total Fossil Fuels Consumption Percent,Nuclear Electric Power Consumption Percent,Hydroelectric Power Consumption Percent,Geothermal Energy Consumption Percent,Solar Energy Consumption Percent,Wind Energy Consumption Percent,Biomass Energy Consumption Percent,Total Renewable Energy Consumption Percent,Total Primary Energy Consumption Percent
37,1986,17.260405,16.591364,32.150143,66.001912,65.985158,4.380109,3.071179,0.107677,0.000147,4.40E-05,2.932095,6.111142,-2E-06,6.11114,76.598888,22.53%,21.66%,41.97%,86.14%,5.72%,4.01%,0.14%,0.00%,0.00%,3.83%,7.98%,100.00%
70,2019,11.315595,32.252007,36.866381,80.433983,80.412861,8.451852,2.563516,0.201285,1.017059,2.634834,5.056021,11.472715,-1E-06,11.472714,100.470646,11.26%,32.10%,36.69%,80.04%,8.41%,2.55%,0.20%,1.01%,2.62%,5.03%,11.42%,100.00%
26,1975,12.662786,19.947883,32.698781,65.30945,65.32299,1.899798,3.154607,0.03378,0,0,1.498734,4.687121,-1E-06,4.68712,71.931011,17.60%,27.73%,45.46%,90.81%,2.64%,4.39%,0.05%,0.00%,0.00%,2.08%,6.52%,100.00%
31,1980,15.422809,20.235459,34.158965,69.817233,69.782203,2.739169,2.900144,0.052699,0,0,2.4755,5.428343,-1E-06,5.428342,78.021113,19.77%,25.94%,43.78%,89.44%,3.51%,3.72%,0.07%,0.00%,0.00%,3.17%,6.96%,100.00%
35,1984,17.070622,18.393613,30.992232,66.456467,66.444979,3.552531,3.385811,0.080811,5.50E-05,6.80E-05,2.97112,6.437865,-1E-06,6.437864,76.570697,22.29%,24.02%,40.48%,86.78%,4.64%,4.42%,0.11%,0.00%,0.00%,3.88%,8.41%,100.00%
41,1990,19.172635,19.603267,33.499918,72.27582,72.280598,6.10435,3.046391,0.170747,0.058787,0.029007,2.735112,6.040044,-1E-06,6.040043,84.432879,22.71%,23.22%,39.68%,85.61%,7.23%,3.61%,0.20%,0.07%,0.03%,3.24%,7.15%,100.00%
48,1997,21.445411,23.222716,36.065115,80.733242,80.779682,6.596992,3.640458,0.166698,0.068208,0.033581,3.10522,7.014165,-1E-06,7.014164,94.507041,22.69%,24.57%,38.16%,85.47%,6.98%,3.85%,0.18%,0.07%,0.04%,3.29%,7.42%,100.00%
49,1998,21.655744,22.830226,36.719796,81.205766,81.272862,7.067809,3.297054,0.16845,0.067496,0.030853,2.92749,6.491343,-1E-06,6.491342,94.920236,22.81%,24.05%,38.68%,85.62%,7.45%,3.47%,0.18%,0.07%,0.03%,3.08%,6.84%,100.00%
55,2004,22.466195,22.923061,40.139253,85.528509,85.666271,8.222774,2.688468,0.178147,0.058501,0.141664,3.008073,6.074853,-1E-06,6.074852,100.002493,22.47%,22.92%,40.14%,85.66%,8.22%,2.69%,0.18%,0.06%,0.14%,3.01%,6.07%,100.00%
38,1987,18.008451,17.639801,32.817479,68.465731,68.474361,4.753933,2.634508,0.11227,0.000109,3.70E-05,2.874884,5.621808,-1E-06,5.621807,79.008203,22.79%,22.33%,41.54%,86.67%,6.02%,3.33%,0.14%,0.00%,0.00%,3.64%,7.12%,100.00%
39,1988,18.846312,18.448393,34.172792,71.467497,71.507048,5.586968,2.334265,0.106338,9.40E-05,9.00E-06,3.016049,5.456755,-1E-06,5.456754,82.659169,22.80%,22.32%,41.34%,86.51%,6.76%,2.82%,0.13%,0.00%,0.00%,3.65%,6.60%,100.00%
40,1989,19.069762,19.601606,34.163952,72.83532,72.865725,5.602161,2.837263,0.161539,0.054483,0.022033,3.159357,6.234675,-1E-06,6.234674,84.74001,22.50%,23.13%,40.32%,85.99%,6.61%,3.35%,0.19%,0.06%,0.03%,3.73%,7.36%,100.00%
65,2014,17.997632,27.382833,34.657827,80.038292,80.016732,8.337559,2.466577,0.21449,0.337421,1.727542,5.015522,9.761552,-1E-06,9.761551,98.297401,18.31%,27.86%,35.26%,81.40%,8.48%,2.51%,0.22%,0.34%,1.76%,5.10%,9.93%,100.00%
67,2016,14.225905,28.400352,35.711903,78.33816,78.31902,8.426753,2.472442,0.209604,0.570218,2.095595,5.063066,10.410925,-1E-06,10.410924,97.383603,14.61%,29.16%,36.67%,80.42%,8.65%,2.54%,0.22%,0.59%,2.15%,5.20%,10.69%,100.00%
0,1949,11.980905,5.145142,11.868994,28.995041,28.988371,0,1.424722,0,0,0,1.549262,2.973984,0,2.973984,31.967775,37.48%,16.09%,37.13%,90.68%,0.00%,4.46%,0.00%,0.00%,0.00%,4.85%,9.30%,100.00%
1,1950,12.347109,5.968371,13.298283,31.613763,31.614755,0,1.415411,0,0,0,1.562307,2.977718,0,2.977718,34.598567,35.69%,17.25%,38.44%,91.38%,0.00%,4.09%,0.00%,0.00%,0.00%,4.52%,8.61%,100.00%
2,1951,12.552996,7.048518,14.407674,34.009188,33.987736,0,1.423795,0,0,0,1.534669,2.958464,0,2.958464,36.953661,33.97%,19.07%,38.99%,91.97%,0.00%,3.85%,0.00%,0.00%,0.00%,4.15%,8.01%,100.00%
3,1952,11.306479,7.549621,14.933895,33.789995,33.778116,0,1.465812,0,0,0,1.474369,2.940181,0,2.940181,36.726037,30.79%,20.56%,40.66%,91.97%,0.00%,3.99%,0.00%,0.00%,0.00%,4.01%,8.01%,100.00%
4,1953,11.372684,7.906645,15.531959,34.811288,34.802286,0,1.412859,0,0,0,1.418601,2.83146,0,2.83146,37.640598,30.21%,21.01%,41.26%,92.46%,0.00%,3.75%,0.00%,0.00%,0.00%,3.77%,7.52%,100.00%
5,1954,9.714667,8.330202,15.813334,33.858203,33.851458,0,1.359772,0,0,0,1.394327,2.754099,0,2.754099,36.61354,26.53%,22.75%,43.19%,92.46%,0.00%,3.71%,0.00%,0.00%,0.00%,3.81%,7.52%,100.00%
