,Year,MSN,USA,US,d_USA
0,1960,ABICB,0.0,0.0,0.0
1,1960,ABICP,0.0,0.0,0.0
2,1960,ARICB,733779.0,733782.0,-3.0
3,1960,ARICP,110575.0,110576.0,-1.0
4,1960,ARTCB,733779.0,733782.0,-3.0
5,1960,ARTCP,110575.0,110576.0,-1.0
6,1960,ARTXB,733779.0,733782.0,-3.0
7,1960,ARTXP,110575.0,110576.0,-1.0
8,1960,AVACB,297900.0,297903.0,-3.0
9,1960,AVACP,59014.0,59014.0,0.0
10,1960,AVTCB,297900.0,297903.0,-3.0
11,1960,AVTCP,59014.0,59014.0,0.0
12,1960,AVTXB,297900.0,297903.0,-3.0
13,1960,AVTXP,59014.0,59014.0,0.0
14,1960,BDACB,0.0,0.0,0.0
15,1960,BDACP,0.0,0.0,0.0
16,1960,BDFDB,0.0,0.0,0.0
17,1960,BDLCB,0.0,0.0,0.0
18,1960,BDPRP,0.0,0.0,0.0
19,1960,BDTCB,0.0,0.0,0.0
20,1960,BDTCP,0.0,0.0,0.0
21,1960,BFFDB,0.0,0.0,0.0
22,1960,BFLCB,0.0,0.0,0.0
23,1960,BFPRP,0.0,0.0,0.0
24,1960,BFTCB,0.0,0.0,0.0
25,1960,BMTCB,1319871.0,1319871.0,0.0
26,1960,CCEXB,0.0,8754.0,-8754.0
27,1960,CCEXP,0.0,353.0,-353.0
28,1960,CCIMB,0.0,3125.0,-3125.0
29,1960,CCIMP,0.0,126.0,-126.0
30,1960,CCNIB,0.0,-5630.0,5630.0
31,1960,CCNIP,0.0,-227.0,227.0
32,1960,CLACB,75625.0,75624.0,1.0
33,1960,CLACK,1203.0469999999998,24.604,1178.4429999999998
34,1960,CLACP,3049.0,3046.0,3.0
35,1960,CLCCB,401971.0,401969.0,2.0
36,1960,CLCCP,16784.0,16789.0,-5.0
37,1960,CLEIB,4226597.0,4226595.0,2.0
38,1960,CLEIK,973.162,23.922,949.24
39,1960,CLEIP,176686.0,176685.0,1.0
40,1960,CLHCK,1049.415,23.943,1025.472
41,1960,CLICB,4547884.0,4547884.0,0.0
42,1960,CLICP,177401.0,177402.0,-1.0
43,1960,CLKCB,2180349.0,2180349.0,0.0
44,1960,CLKCK,615.8119999999999,26.791,589.0209999999998
45,1960,CLKCP,81386.0,81385.0,1.0
46,1960,CLOCB,2367535.0,2367535.0,0.0
47,1960,CLOCK,1151.885,24.657,1127.228
48,1960,CLOCP,96016.0,96017.0,-1.0
49,1960,CLPRB,10590205.0,10590206.0,-1.0
50,1960,CLPRK,571.9520000000001,24.266,547.6860000000001
51,1960,CLPRP,436425.0,436425.0,0.0
52,1960,CLRCB,578445.0,578443.0,2.0
53,1960,CLRCP,24160.0,24159.0,1.0
54,1960,CLTCB,9830513.0,9830513.0,0.0
55,1960,CLTCP,398080.0,398081.0,-1.0
56,1960,CLTXB,5603916.0,5603919.0,-3.0
57,1960,CLTXP,221400.0,221396.0,4.0
58,1960,COICB,0.0,0.0,0.0
59,1960,COICP,0.0,0.0,0.0
60,1960,COPRK,191.40000000000003,5.8,185.60000000000002
61,1960,DFACB,891945.0,891941.0,4.0
62,1960,DFACP,153124.0,153123.0,1.0
63,1960,DFCCB,493590.0,493587.0,3.0
64,1960,DFCCP,84735.0,84736.0,-1.0
65,1960,DFEIB,22274.0,22273.0,1.0
66,1960,DFEIP,3822.0,3824.0,-2.0
67,1960,DFICB,1015693.0,1015690.0,3.0
68,1960,DFICP,174363.0,174367.0,-4.0
69,1960,DFRCB,1568200.0,1568195.0,5.0
70,1960,DFRCP,269219.0,269218.0,1.0
71,1960,DFTCB,3991685.0,3991686.0,-1.0
72,1960,DFTCK,0.0,5.825,-5.825
73,1960,DFTCP,685271.0,685268.0,3.0
74,1960,DFTXB,3969412.0,3969413.0,-1.0
75,1960,DFTXP,681444.0,681444.0,0.0
76,1960,DKEIB,22274.0,22273.0,1.0
77,1960,DKEIP,3822.0,3824.0,-2.0
78,1960,DMTCB,3991685.0,3991686.0,-1.0
79,1960,ELEXB,2688.0,2689.0,-1.0
80,1960,ELEXP,787.0,788.0,-1.0
81,1960,ELIMB,18164.0,18163.0,1.0
82,1960,ELIMP,5324.0,5323.0,1.0
83,1960,ELISB,-2.0,0.0,-2.0
84,1960,ELNIB,15475.0,15474.0,1.0
85,1960,ELNIP,4535.0,4535.0,0.0
86,1960,EMACB,0.0,0.0,0.0
87,1960,EMCCB,0.0,0.0,0.0
88,1960,EMFDB,0.0,0.0,0.0
89,1960,EMICB,0.0,0.0,0.0
90,1960,EMLCB,0.0,0.0,0.0
91,1960,EMTCB,0.0,0.0,0.0
92,1960,ENACP,0.0,0.0,0.0
93,1960,ENCCP,0.0,0.0,0.0
94,1960,ENICP,0.0,0.0,0.0
95,1960,ENPRP,0.0,0.0,0.0
96,1960,ENTCK,0.0,0.0,0.0
97,1960,ENTCP,0.0,0.0,0.0
98,1960,ESACB,10459.0,10460.0,-1.0
99,1960,ESACP,3065.0,3066.0,-1.0
