,MSN,StateCode,Year,Data,Description,Unit
0,ABICB,US,2019,-1191.0,Aviation gasoline blending components consumed by the industrial sector,Billion Btu
1,ABICP,US,2019,-236.0,Aviation gasoline blending components consumed by the industrial sector,Thousand barrels
2,ARICB,US,2019,843880.0,Asphalt and road oil consumed by the industrial sector,Billion Btu
3,ARICD,US,2019,13.53,Asphalt and road oil price in the industrial sector,Dollars per million Btu
4,ARICP,US,2019,127167.0,Asphalt and road oil consumed by the industrial sector,Thousand barrels
5,ARICV,US,2019,11414.3,Asphalt and road oil expenditures in the industrial sector,Million dollars
6,ARTCB,US,2019,843880.0,Asphalt and road oil total consumption,Billion Btu
7,ARTCD,US,2019,13.53,"Asphalt and road oil average price, all sectors",Dollars per million Btu
8,ARTCP,US,2019,127167.0,Asphalt and road oil total consumption,Thousand barrels
9,ARTCV,US,2019,11414.3,Asphalt and road oil total expenditures,Million dollars
10,ARTXB,US,2019,843880.0,Asphalt and road oil total end-use consumption,Billion Btu
11,ARTXD,US,2019,13.53,"Asphalt and road oil average price, all end-use sectors",Dollars per million Btu
12,ARTXP,US,2019,127167.0,Asphalt and road oil total end-use consumption,Thousand barrels
13,ARTXV,US,2019,11414.3,Asphalt and road oil total end-use expenditures,Million dollars
14,AVACB,US,2019,23387.0,Aviation gasoline consumed by the transportation sector,Billion Btu
15,AVACD,US,2019,25.57,Aviation gasoline price in the transportation sector,Dollars per million Btu
16,AVACP,US,2019,4633.0,Aviation gasoline consumed by the transportation sector,Thousand barrels
17,AVACV,US,2019,598.0,Aviation gasoline expenditures in the transportation sector,Million dollars
18,AVTCB,US,2019,23387.0,Aviation gasoline total consumption,Billion Btu
19,AVTCD,US,2019,25.57,"Aviation gasoline average price, all sectors",Dollars per million Btu
20,AVTCP,US,2019,4633.0,Aviation gasoline total consumption,Thousand barrels
21,AVTCV,US,2019,598.0,Aviation gasoline total expenditures,Million dollars
22,AVTXB,US,2019,23387.0,Aviation gasoline total end-use consumption,Billion Btu
23,AVTXD,US,2019,25.57,"Aviation gasoline average price, all end-use sectors",Dollars per million Btu
24,AVTXP,US,2019,4633.0,Aviation gasoline total end-use consumption,Thousand barrels
25,AVTXV,US,2019,598.0,Aviation gasoline total end-use expenditures,Million dollars
26,BDACB,US,2019,231310.0,Biodiesel consumed by the transportation sector,Billion Btu
27,BDACP,US,2019,43163.0,Biodiesel consumed by the transportation sector,Thousand barrels
28,BDFDB,US,2019,223077.0,Biomass inputs (feedstock) to the production of biodiesel,Billion Btu
29,BDLCB,US,2019,3038.0,Energy losses and co-products from the production of biodiesel,Billion Btu
30,BDPRP,US,2019,41060.0,Biodiesel production,Thousand barrels
31,BDTCB,US,2019,231310.0,Biodiesel total consumption,Billion Btu
32,BDTCP,US,2019,43163.0,Biodiesel total consumption,Thousand barrels
33,BFFDB,US,2019,2327517.0,Biomass inputs (feedstock) to the production of biofuels,Billion Btu
34,BFLCB,US,2019,799503.0,Energy losses and co-products from the production of biofuels,Billion Btu
35,BFPRP,US,2019,416738.0,Biofuels production,Thousand barrels
36,BFTCB,US,2019,2237091.0,"Biofuels total consumption, including losses and co-products from the production of biofuels",Billion Btu
37,BMTCB,US,2019,4915724.0,Biomass total consumption,Billion Btu
38,BQICB,US,2019,80243.0,Normal butane consumed by the industrial sector,Billion Btu
39,BQICP,US,2019,18434.0,Normal butane consumed by the industrial sector,Thousand barrels
40,BQTCB,US,2019,80243.0,Normal butane total consumption,Billion Btu
41,BQTCP,US,2019,18434.0,Normal butane total consumption,Thousand barrels
42,BYICB,US,2019,26.0,Butylene from refineries consumed by the industrial sector,Billion Btu
43,BYICP,US,2019,6.0,Butylene from refineries consumed by the industrial sector,Thousand barrels
44,BYTCB,US,2019,26.0,Butylene from refineries total consumption,Billion Btu
45,BYTCP,US,2019,6.0,Butylene from refineries total consumption,Thousand barrels
46,CCEXB,US,2019,23990.0,Coal coke exported from the United States ,Billion Btu
47,CCEXD,US,2019,11.29,"Coal coke exports average price, United States",Dollars per million Btu
48,CCEXP,US,2019,967.0,Coal coke exported from the United States ,Thousand short tons
49,CCEXV,US,2019,270.8,"Coal coke exports expenditures, United States",Million dollars
50,CCIMB,US,2019,2868.0,Coal coke imported into the United States,Billion Btu
51,CCIMD,US,2019,12.34,"Coal coke imports average price, United States",Dollars per million Btu
52,CCIMP,US,2019,116.0,Coal coke imported into the United States,Thousand short tons
53,CCIMV,US,2019,35.4,"Coal coke imports expenditures, United States",Million dollars
54,CCNIB,US,2019,-21122.0,Coal coke net imports into the United States,Billion Btu
55,CCNIP,US,2019,-852.0,Coal coke net imports into the United States,Thousand short tons
56,CCNIV,US,2019,-235.4,"Coal coke net imports expenditures, United States",Million dollars
57,CLACB,US,2019,0.0,Coal consumed by the transportation sector,Billion Btu
58,CLACD,US,2019,0.0,Coal price in the transportation sector,Dollars per million Btu
59,CLACK,US,2019,0.0,Factor for converting coal consumed by the transportation sector from physical units to Btu,Million Btu per short ton
60,CLACP,US,2019,0.0,Coal consumed by the transportation sector,Thousand short tons
61,CLACV,US,2019,0.0,Coal expenditures in the transportation sector,Million dollars
62,CLCCB,US,2019,16714.0,Coal consumed by the commercial sector,Billion Btu
63,CLCCD,US,2019,5.4,Coal price in the commercial sector,Dollars per million Btu
64,CLCCP,US,2019,876.0,Coal consumed by the commercial sector,Thousand short tons
65,CLCCV,US,2019,90.3,Coal expenditures in the commercial sector,Million dollars
66,CLEIB,US,2019,10181385.0,Coal consumed by the electric power sector,Billion Btu
67,CLEID,US,2019,2.06,Coal price in the electric power sector,Dollars per million Btu
68,CLEIK,US,2019,18.903,Factor for converting coal consumed by the electric power sector from physical units to Btu,Million Btu per short ton
69,CLEIP,US,2019,538601.0,Coal consumed by the electric power sector,Thousand short tons
70,CLEIV,US,2019,20947.5,Coal expenditures in the electric power sector,Million dollars
71,CLHCK,US,2019,19.082,Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu,Million Btu per short ton
72,CLICB,US,2019,1116741.0,Coal consumed by the industrial sector,Billion Btu
73,CLICD,US,2019,3.89,Coal price in the industrial sector,Dollars per million Btu
74,CLICP,US,2019,47062.0,Coal consumed by the industrial sector,Thousand short tons
75,CLICV,US,2019,4348.8,Coal expenditures in the industrial sector,Million dollars
76,CLISB,US,2019,1116741.0,Coal consumed by the industrial sector excluding refinery fuel,Billion Btu
77,CLKCB,US,2019,514538.0,Coal consumed at coke plants (coking coal),Billion Btu
78,CLKCD,US,2019,5.01,Coal price at coke plants,Dollars per million Btu
79,CLKCK,US,2019,28.639,Factor for converting coal consumed at coke plants from physical units to Btu,Million Btu per short ton
80,CLKCP,US,2019,17967.0,Coal consumed by coke plants (coking coal),Thousand short tons
81,CLKCV,US,2019,2578.2,Coal expenditures at coke plants,Million dollars
82,CLOCB,US,2019,602203.0,Coal consumed by industrial users other than coke plants,Billion Btu
83,CLOCD,US,2019,2.94,Coal price in the industrial sector other than coke plants,Dollars per million Btu
84,CLOCK,US,2019,20.698,Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu,Million Btu per short ton
85,CLOCP,US,2019,29095.0,Coal consumed by industrial users other than coke plants,Thousand short tons
86,CLOCV,US,2019,1770.7,Coal expenditures in the industrial sector other than coke plants,Million dollars
87,CLOSB,US,2019,602203.0,Coal consumed by the industrial sector other than coke plants excluding refinery fuel,Billion Btu
88,CLPRB,US,2019,14290746.0,Coal production,Billion Btu
89,CLPRK,US,2019,20.233,Factor for converting coal production from physical units to Btu,Million Btu per short ton
90,CLPRP,US,2019,706309.0,Coal production,Thousand short tons
91,CLRCB,US,2019,0.0,Coal consumed by the residential sector,Billion Btu
92,CLRCD,US,2019,0.0,Coal price in the residential sector,Dollars per million Btu
93,CLRCP,US,2019,0.0,Coal consumed by the residential sector,Thousand short tons
94,CLRCV,US,2019,0.0,Coal expenditures in the residential sector,Million dollars
