,MSN,StateCode,Year,Data,Description,Unit
0,BDACB,CA,2018,23539.0,Biodiesel consumed by the transportation sector,Billion Btu
1,BDLCB,CA,2018,81.0,Energy losses and co-products from the production of biodiesel,Billion Btu
2,BDTCB,CA,2018,23539.0,Biodiesel total consumption,Billion Btu
3,CLACB,CA,2018,0.0,Coal consumed by the transportation sector,Billion Btu
4,CLCCB,CA,2018,0.0,Coal consumed by the commercial sector,Billion Btu
5,CLEIB,CA,2018,0.0,Coal consumed by the electric power sector,Billion Btu
6,CLICB,CA,2018,33256.0,Coal consumed by the industrial sector,Billion Btu
7,CLRCB,CA,2018,0.0,Coal consumed by the residential sector,Billion Btu
8,CLTCB,CA,2018,33256.0,Coal total consumption,Billion Btu
9,ELEXB,CA,2018,19131.0,Electricity exported from the United States,Billion Btu
10,ELIMB,CA,2018,21603.0,Electricity imported into the United States,Billion Btu
11,ELISB,CA,2018,865712.0,Net interstate flow of electricity and associated losses (negative indicates flow out of state),Billion Btu
12,ELNIB,CA,2018,2472.0,Net imports of electricity into the United States,Billion Btu
13,EMACB,CA,2018,125582.0,"Fuel ethanol, excluding denaturant, consumed by the transportation sector   ",Billion Btu
14,EMCCB,CA,2018,3733.0,"Fuel ethanol, excluding denaturant, consumed by the commercial sector ",Billion Btu
15,EMICB,CA,2018,2203.0,"Fuel ethanol, excluding denaturant, consumed by the industrial sector ",Billion Btu
16,EMLCB,CA,2018,11079.0,Energy losses and co-products from the production of fuel ethanol,Billion Btu
17,EMTCB,CA,2018,131519.0,"Fuel ethanol, excluding denaturant, total consumption",Billion Btu
18,ESACB,CA,2018,2559.0,"Electricity consumed by (i.e., sold to) the transportation sector",Billion Btu
19,ESCCB,CA,2018,395064.0,"Electricity consumed by (i.e., sold to) the commercial sector",Billion Btu
20,ESICB,CA,2018,169194.0,"Electricity consumed by (i.e., sold to) the industrial sector",Billion Btu
21,ESRCB,CA,2018,304009.0,"Electricity consumed by (i.e., sold to) the residential sector",Billion Btu
22,GECCB,CA,2018,634.0,Geothermal energy consumed by the commercial sector,Billion Btu
23,GEEGB,CA,2018,106306.0,Geothermal energy consumed for electricity generation by the electric power sector,Billion Btu
24,GEICB,CA,2018,1217.0,Geothermal energy consumed by the industrial sector,Billion Btu
25,GERCB,CA,2018,287.0,Geothermal energy consumed by the residential sector,Billion Btu
26,GETCB,CA,2018,108445.0,Geothermal energy total consumption,Billion Btu
27,HYCCB,CA,2018,99.0,Hydropower consumed by the commercial sector,Billion Btu
28,HYEGB,CA,2018,239615.0,Hydropower consumed for electricity generation by the electric power sector,Billion Btu
29,HYICB,CA,2018,0.0,Hydropower consumed by the industrial sector,Billion Btu
