source,target,MSN,coefficient
Biodiesel,Transportation,BDACB,1
BiodieselLoss,Industrial,BDLCB,1
Coal,Transportation,CLACB,1
Coal,Residential,CLRCB,1
Coal,Industrial,CLICB,1
Coal,ElectricPower,CLEIB,1
Coal,Commercial,CLCCB,1
CoalCokeImport,Industrial,CCIMB,1
ElectricImport,ElectricPower,ELIMB,1
ElectricPower,Transportation,ESACB,1
ElectricPower,Residential,ESRCB,1
ElectricPower,Industrial,ESICB,1
ElectricPower,ElectricLoss,LOTCB,1
ElectricPower,ElectricExport,ELEXB,1
ElectricPower,Commercial,ESCCB,1
FuelEthanol,Transportation,EMACB,1
FuelEthanol,Industrial,EMICB,1
FuelEthanol,Commercial,EMCCB,1
FuelEthanolLoss,Industrial,EMLCB,1
Geothermal,Residential,GERCB,1
Geothermal,Industrial,GEICB,1
Geothermal,ElectricPower,GEEGB,1
Geothermal,Commercial,GECCB,1
Hydropower,Industrial,HYICB,1
Hydropower,ElectricPower,HYEGB,1
Hydropower,Commercial,HYCCB,1
Industrial,CoalCokeExport,CCEXB,1
NaturalGas,Transportation,NGACB,1
NaturalGas,Residential,NGRCB,1
NaturalGas,Residential,SFRCB,-1
NaturalGas,Industrial,NGICB,1
NaturalGas,Industrial,SFINB,-1
NaturalGas,ElectricPower,NGEIB,1
NaturalGas,ElectricPower,SFEIB,-1
NaturalGas,Commercial,NGCCB,1
NaturalGas,Commercial,SFCCB,-1
Nuclear,ElectricPower,NUEGB,1
Petroleum,Transportation,PAACB,1
Petroleum,Transportation,BDACB,-1
Petroleum,Transportation,EMACB,-1
Petroleum,Residential,PARCB,1
Petroleum,Industrial,PAICB,1
Petroleum,Industrial,EMICB,-1
Petroleum,ElectricPower,PAEIB,1
Petroleum,Commercial,PACCB,1
Petroleum,Commercial,EMCCB,-1
Solar,Residential,SORCB,1
Solar,Industrial,SOICB,1
Solar,ElectricPower,SOEGB,1
Solar,Commercial,SOCCB,1
Waste,Industrial,WSICB,1
Waste,ElectricPower,WSEIB,1
Waste,Commercial,WSCCB,1
Wind,Industrial,WYICB,1
Wind,ElectricPower,WYEGB,1
Wind,Commercial,WYCCB,1
Wood,Residential,WDRCB,1
Wood,Industrial,WDICB,1
Wood,ElectricPower,WDEIB,1
Wood,Commercial,WDCCB,1
WoodProduction,Wood,WDPRB,1
WoodProduction,DensifiedBiomassExport,WDEXB,1
