node,calculate,times
Solar,SOTCB,1
Wind,WYTCB,1
Geothermal,GETCB,1
Hydropower,HYTCB,1
Wood,WDTCB,1
Waste,WSTCB,1
Biodiesel,BDTCB,1
FuelEthanol,EMTCB,1
BiodieselLoss,BDLCB,1
FuelEthanolLoss,EMLCB,1
Nuclear,NUETB,1
Coal,CLTCB,1
NaturalGas,NGTCB,1
NaturalGas,SFTCB,-1
Petroleum,PATCB,1
Petroleum,BDTCB,-1
Petroleum,EMTCB,-1
ElectricPower,TEEIB,1
ElectricPower,ELISB,-1
ElectricPower,ELNIB,-1
Transportation,TNACB,1
Industrial,TNICB,1
Commercial,TNCCB,1
Residential,TNRCB,1
ElectricLoss,LOTCB,1
ElectricImport,ELIMB,1
ElectricExport,ELEXB,1
CoalCokeImport,CCIMB,1
CoalCokeExport,CCEXB,1
DensifiedBiomassExport,WDEXB,1
WoodProduction,WDPRB,1
