,iso_code,country,year,attr,data,count
0,89,89,1950,14,639,844
1,89,89,1951,14,665,855
2,89,89,1952,14,657,857
3,89,89,1953,14,668,856
4,89,89,1954,14,674,858
5,89,89,1955,14,690,860
6,89,89,1956,14,699,866
7,89,89,1957,14,716,867
8,89,89,1958,14,715,870
9,89,89,1959,14,718,868
10,89,89,1960,14,732,871
11,89,89,1961,14,727,874
12,89,89,1962,14,729,875
13,89,89,1963,14,745,876
14,89,89,1964,14,756,880
15,103,103,1965,64,2152,4329
16,103,103,1966,86,2906,5672
17,103,103,1967,86,2932,5676
18,104,104,1968,86,2948,5682
19,104,104,1969,86,2994,5683
20,105,105,1970,86,3107,5713
21,105,105,1971,86,3146,5785
22,105,105,1972,86,3179,5808
23,105,105,1973,86,3235,5818
24,105,105,1974,86,3275,5821
25,105,105,1975,86,3315,5823
26,105,105,1976,86,3331,5827
27,105,105,1977,86,3409,5831
28,105,105,1978,86,3444,5839
29,105,105,1979,87,3457,5847
30,194,194,1980,87,3915,6702
31,193,193,1981,87,4093,7143
32,193,193,1982,87,4103,7153
33,193,193,1983,87,4134,7157
34,193,193,1984,88,4222,7169
35,203,203,1985,109,5204,8826
36,204,204,1986,109,5412,9066
37,204,204,1987,109,5439,9080
38,204,204,1988,109,5452,9081
39,204,204,1989,109,5477,9081
40,210,210,1990,121,6058,10124
41,209,209,1991,123,6100,10228
42,215,215,1992,123,6251,10339
43,215,215,1993,123,6347,10439
44,216,216,1994,123,6347,10459
45,216,216,1995,123,6395,10467
46,216,216,1996,123,6447,10474
47,217,217,1997,123,6510,10490
48,217,217,1998,123,6486,10494
49,218,218,1999,123,6533,10507
50,218,218,2000,125,8061,17146
51,218,218,2001,125,8073,17178
52,218,218,2002,125,8201,17186
53,219,219,2003,125,8234,17204
54,219,219,2004,125,8362,17212
55,220,220,2005,125,8446,17278
56,220,220,2006,125,8479,17294
57,220,220,2007,125,8635,17315
58,220,220,2008,125,8647,17319
59,220,220,2009,125,8846,17329
60,220,220,2010,125,8895,17343
61,220,220,2011,125,9094,17350
62,221,221,2012,125,9148,17417
63,221,221,2013,125,9272,17425
64,221,221,2014,125,9373,17441
65,221,221,2015,125,9439,17440
66,221,221,2016,125,9506,17448
67,88,88,1901,14,303,723
68,88,88,1902,14,308,725
69,88,88,1903,14,315,726
70,88,88,1904,14,321,728
71,88,88,1905,14,326,729
72,88,88,1906,14,324,730
73,88,88,1907,14,322,728
74,88,88,1908,14,331,730
75,88,88,1909,14,337,732
76,89,89,1910,14,347,742
77,88,88,1911,14,342,737
78,88,88,1912,14,345,734
79,88,88,1913,14,375,755
80,88,88,1914,14,363,739
81,88,88,1915,14,365,740
82,88,88,1916,14,377,742
83,88,88,1917,14,380,742
84,88,88,1918,14,382,743
85,88,88,1919,14,381,744
86,89,89,1920,14,388,753
87,88,88,1921,14,389,750
88,88,88,1922,14,398,748
89,88,88,1923,14,410,754
90,88,88,1924,14,417,757
91,88,88,1925,14,418,756
92,88,88,1926,14,423,757
93,88,88,1927,14,419,758
94,88,88,1928,14,427,759
95,88,88,1929,14,437,766
96,89,89,1930,14,441,769
97,88,88,1931,14,449,766
98,88,88,1932,14,450,766
99,88,88,1933,14,452,767
100,88,88,1934,14,464,771
101,88,88,1935,14,468,771
102,88,88,1936,14,459,771
103,88,88,1937,14,477,770
104,88,88,1938,14,480,778
105,88,88,1939,14,485,772
106,89,89,1940,14,494,781
107,88,88,1941,14,492,775
108,88,88,1942,14,488,773
109,88,88,1943,14,480,769
110,88,88,1944,14,482,768
111,88,88,1945,14,480,769
112,88,88,1946,14,510,771
113,88,88,1947,14,547,788
114,88,88,1948,14,565,794
115,88,88,1949,14,560,797
116,221,221,2017,125,9302,16383
117,220,220,2018,125,9371,16378
118,220,220,2019,123,9158,16048
119,213,213,2020,123,8867,15527
120,78,78,2021,47,2596,3616
121,89,89,1900,8,219,497
