,iso_code,country,year,attr,data
50,89,89,1950,14,639
51,89,89,1951,14,665
52,89,89,1952,14,657
53,89,89,1953,14,668
54,89,89,1954,14,674
55,89,89,1955,14,690
56,89,89,1956,14,699
57,89,89,1957,14,716
58,89,89,1958,14,715
59,89,89,1959,14,718
60,89,89,1960,14,732
61,89,89,1961,14,727
62,89,89,1962,14,729
63,89,89,1963,14,745
64,89,89,1964,14,756
65,103,103,1965,64,2152
66,103,103,1966,86,2906
67,103,103,1967,86,2932
68,104,104,1968,86,2948
69,104,104,1969,86,2994
70,105,105,1970,86,3107
71,105,105,1971,86,3146
72,105,105,1972,86,3179
73,105,105,1973,86,3235
74,105,105,1974,86,3275
75,105,105,1975,86,3315
76,105,105,1976,86,3331
77,105,105,1977,86,3409
78,105,105,1978,86,3444
79,105,105,1979,87,3457
80,194,194,1980,87,3915
81,193,193,1981,87,4093
82,193,193,1982,87,4103
83,193,193,1983,87,4134
84,193,193,1984,88,4222
85,203,203,1985,109,5204
86,204,204,1986,109,5412
87,204,204,1987,109,5439
88,204,204,1988,109,5452
89,204,204,1989,109,5477
90,210,210,1990,121,6058
91,209,209,1991,123,6100
92,215,215,1992,123,6251
93,215,215,1993,123,6347
94,216,216,1994,123,6347
95,216,216,1995,123,6395
96,216,216,1996,123,6447
97,217,217,1997,123,6510
98,217,217,1998,123,6486
99,218,218,1999,123,6533
100,218,218,2000,125,8061
101,218,218,2001,125,8073
102,218,218,2002,125,8201
103,219,219,2003,125,8234
104,219,219,2004,125,8362
105,220,220,2005,125,8446
106,220,220,2006,125,8479
107,220,220,2007,125,8635
108,220,220,2008,125,8647
109,220,220,2009,125,8846
110,220,220,2010,125,8895
111,220,220,2011,125,9094
112,221,221,2012,125,9148
113,221,221,2013,125,9272
114,221,221,2014,125,9373
115,221,221,2015,125,9439
116,221,221,2016,125,9506
122,88,88,1901,14,303
123,88,88,1902,14,308
124,88,88,1903,14,315
125,88,88,1904,14,321
126,88,88,1905,14,326
127,88,88,1906,14,324
128,88,88,1907,14,322
129,88,88,1908,14,331
130,88,88,1909,14,337
131,89,89,1910,14,347
132,88,88,1911,14,342
133,88,88,1912,14,345
134,88,88,1913,14,375
135,88,88,1914,14,363
136,88,88,1915,14,365
137,88,88,1916,14,377
138,88,88,1917,14,380
139,88,88,1918,14,382
140,88,88,1919,14,381
141,89,89,1920,14,388
142,88,88,1921,14,389
143,88,88,1922,14,398
144,88,88,1923,14,410
145,88,88,1924,14,417
146,88,88,1925,14,418
147,88,88,1926,14,423
148,88,88,1927,14,419
149,88,88,1928,14,427
150,88,88,1929,14,437
151,89,89,1930,14,441
152,88,88,1931,14,449
153,88,88,1932,14,450
154,88,88,1933,14,452
155,88,88,1934,14,464
156,88,88,1935,14,468
157,88,88,1936,14,459
158,88,88,1937,14,477
159,88,88,1938,14,480
160,88,88,1939,14,485
161,89,89,1940,14,494
162,88,88,1941,14,492
163,88,88,1942,14,488
164,88,88,1943,14,480
165,88,88,1944,14,482
166,88,88,1945,14,480
167,88,88,1946,14,510
168,88,88,1947,14,547
169,88,88,1948,14,565
170,88,88,1949,14,560
238,221,221,2017,125,9302
239,220,220,2018,125,9371
240,220,220,2019,123,9158
241,213,213,2020,123,8867
138760,78,78,2021,47,2596
396497,89,89,1900,8,219
