year,iso_code,country,attr,data
1900,497,497,497,497
1901,723,723,723,723
1902,725,725,725,725
1903,726,726,726,726
1904,728,728,728,728
1905,729,729,729,729
1906,730,730,730,730
1907,728,728,728,728
1908,730,730,730,730
1909,732,732,732,732
1910,742,742,742,742
1911,737,737,737,737
1912,734,734,734,734
1913,755,755,755,755
1914,739,739,739,739
1915,740,740,740,740
1916,742,742,742,742
1917,742,742,742,742
1918,743,743,743,743
1919,744,744,744,744
1920,753,753,753,753
1921,750,750,750,750
1922,748,748,748,748
1923,754,754,754,754
1924,757,757,757,757
1925,756,756,756,756
1926,757,757,757,757
1927,758,758,758,758
1928,759,759,759,759
1929,766,766,766,766
1930,769,769,769,769
1931,766,766,766,766
1932,766,766,766,766
1933,767,767,767,767
1934,771,771,771,771
1935,771,771,771,771
1936,771,771,771,771
1937,770,770,770,770
1938,778,778,778,778
1939,772,772,772,772
1940,781,781,781,781
1941,775,775,775,775
1942,773,773,773,773
1943,769,769,769,769
1944,768,768,768,768
1945,769,769,769,769
1946,771,771,771,771
1947,788,788,788,788
1948,794,794,794,794
1949,797,797,797,797
1950,844,844,844,844
1951,855,855,855,855
1952,857,857,857,857
1953,856,856,856,856
1954,858,858,858,858
1955,860,860,860,860
1956,866,866,866,866
1957,867,867,867,867
1958,870,870,870,870
1959,868,868,868,868
1960,871,871,871,871
1961,874,874,874,874
1962,875,875,875,875
1963,876,876,876,876
1964,880,880,880,880
1965,4329,4329,4329,4329
1966,5672,5672,5672,5672
1967,5676,5676,5676,5676
1968,5682,5682,5682,5682
1969,5683,5683,5683,5683
1970,5713,5713,5713,5713
1971,5785,5785,5785,5785
1972,5808,5808,5808,5808
1973,5818,5818,5818,5818
1974,5821,5821,5821,5821
1975,5823,5823,5823,5823
1976,5827,5827,5827,5827
1977,5831,5831,5831,5831
1978,5839,5839,5839,5839
1979,5847,5847,5847,5847
1980,6702,6702,6702,6702
1981,7143,7143,7143,7143
1982,7153,7153,7153,7153
1983,7157,7157,7157,7157
1984,7169,7169,7169,7169
1985,8826,8826,8826,8826
1986,9066,9066,9066,9066
1987,9080,9080,9080,9080
1988,9081,9081,9081,9081
1989,9081,9081,9081,9081
1990,10124,10124,10124,10124
1991,10228,10228,10228,10228
1992,10339,10339,10339,10339
1993,10439,10439,10439,10439
1994,10459,10459,10459,10459
1995,10467,10467,10467,10467
1996,10474,10474,10474,10474
1997,10490,10490,10490,10490
1998,10494,10494,10494,10494
1999,10507,10507,10507,10507
2000,17146,17146,17146,17146
2001,17178,17178,17178,17178
2002,17186,17186,17186,17186
2003,17204,17204,17204,17204
2004,17212,17212,17212,17212
2005,17278,17278,17278,17278
2006,17294,17294,17294,17294
2007,17315,17315,17315,17315
2008,17319,17319,17319,17319
2009,17329,17329,17329,17329
2010,17343,17343,17343,17343
2011,17350,17350,17350,17350
2012,17417,17417,17417,17417
2013,17425,17425,17425,17425
2014,17441,17441,17441,17441
2015,17440,17440,17440,17440
2016,17448,17448,17448,17448
2017,16383,16383,16383,16383
2018,16378,16378,16378,16378
2019,16048,16048,16048,16048
2020,15527,15527,15527,15527
2021,3616,3616,3616,3616
