iso_code,country,year,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_cons_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,gdp,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,population,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
ABW,Aruba,2016,,,,,0.0,0.0,0.0,,588.889,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.9,0.9,-2.861,-0.154,50029.577,,,,7247.413,0.76,,,84.444,,,,,0.0,0.0,,,,,,0.0,,,0.53,,,,0.0,0.0,,0.0,,,,,1335.05,0.14,,15.556,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7247.413,0.76,,,,,,84.444,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,8582.463,104865.0,5.246,,,,1335.05,0.14,,15.556,,,,,95.361,0.01,,1.111,,,,,1239.689,0.13,,14.444,
AFG,Afghanistan,2016,,,,,0.0,0.0,0.0,,107.438,,,,,0.0,0.0,24.396,1.933,278.61,9.858,0.0,,5.54,1.21,-6.9,-2.554,973.857,0.536,,,4.239,0.15,,,12.397,,,,,0.0,0.0,,,,,,0.0,,64297428000.0,0.13,,,,28.827,1.02,,84.298,,,,,29.958,1.06,,87.603,,4.33,78.159,,,,0.0,0.0,,0.0,,,,,4.239,0.15,,,,,,12.397,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,34.197,35383028.0,34.458,,,,29.958,1.06,,87.603,,,,,1.13,0.04,,3.306,,,,,0.0,0.0,,0.0,
AGO,Angola,2016,,,,,41.605,1.2,11.753,,262.488,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.21,10.21,-8.759,-10.248,3701.193,0.599,,,111.988,3.23,,,31.636,,,,,0.0,0.0,,121.603,10.195,644.15,18.579,0.0,,178333874549.0,2.68,,,,199.705,5.76,,56.415,,,,,242.004,6.98,,68.364,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,111.988,3.23,,-2.716,-27.849,34583.787,997.482,31.636,,,1.2,0.0,,,41.605,0.0,,11.753,0.0,,353.992,28842482.0,106.752,,,,242.004,6.98,,68.364,,,,,0.693,0.02,,0.196,,,,,0.0,0.0,,0.0,
ALB,Albania,2016,,,,,0.0,0.0,0.0,,24.422,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,7.74,7.78,11.445,3.901,13159.583,1.207,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,28.57,0.103,161.336,0.466,0.0,,31481821922.0,0.19,,,,2695.374,7.78,,100.0,,,,,2695.374,7.78,,100.0,,-0.04,-0.517,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,13.14,1.788,5334.727,15.398,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2695.374,2886427.0,37.984,,,,2695.374,7.78,,100.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
ANT,Netherlands Antilles,2016,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.922,0.519,177599.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319898.0,56.814,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,2016,,,,,1.068,0.01,0.008,,488.798,7.343,1.464,2286.719,21.406,0.0,0.0,,0.0,0.0,0.0,0.0,1.66,122.48,121.85,3.983,49.387,137741.765,1.818,3.98,49.321,12982.622,121.53,137649.186,1288.531,99.737,99.933,0.644,4.604,719.31,12982.622,121.53,76841.381,1.574,9.221,63583.999,595.208,99.737,55.787,709426097516.0,59.56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.296,0.066,0.868,34.184,0.32,92.688,0.263,0.067,0.63,0.514,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.572,43.252,547.814,0.0,0.0,58521.087,3.588,73.468,226586.933,2121.075,0.0,42.486,0.015,0.01,0.0,-0.549,-0.0,1.068,0.0,1.611,0.008,0.0,0.001,13016.806,9360975.0,1289.397,8.296,0.066,0.868,34.184,0.32,92.688,0.263,0.067,8.991,0.07,0.853,33.116,0.31,91.077,0.254,0.066,-100.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2016,5.989,0.906,368.599,16.037,46.198,2.01,1.442,1.589,396.312,-22.926,-3.625,280.144,12.189,45.508,1.98,-25.562,-0.057,3.822,0.166,1.421,1.208,148.88,139.36,-0.67,-6.804,23191.054,1.218,-0.008,-0.065,2291.738,99.71,19986.542,869.584,71.549,86.182,3.338,15.574,482.1,1758.738,76.52,11080.615,5.047,17.912,8568.99,372.824,54.908,47.78,828372950013.0,55.23,-8.96,-9.469,96.202,675.731,29.4,2211.109,21.096,9.534,-4.611,-6.739,139.424,911.317,39.65,3204.53,28.451,13.818,9.52,6.394,17.005,3.028,20.835,176.517,7.68,478.874,5.511,2.065,-3.102,-12.014,375.294,487.491,21.21,8625.783,-4.709,-16.455,7653.136,332.976,15.22,37.194,4.938,2.01,0.0,-17.932,-1.079,46.198,0.0,113.485,1.442,0.0,0.489,3203.055,43508460.0,1009.007,-7.609,-9.767,118.589,734.8,31.97,2725.656,22.941,11.753,-3.367,-0.001,0.036,0.23,0.01,0.825,0.007,0.004,-8.295,-0.125,1.376,12.641,0.55,31.637,0.395,0.136
ARM,Armenia,2016,,,,,0.0,0.0,0.0,,184.438,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,5.99,6.94,0.707,0.287,13946.895,1.392,,,824.209,2.42,,,34.87,,,,,824.209,2.42,,,0.0,0.0,0.0,34.87,,29426934720.0,1.28,,,,793.557,2.33,,33.573,,,,,1539.432,4.52,,65.13,,-0.95,-15.86,,,,745.875,2.19,,31.556,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2363.642,2936147.0,40.95,,,,793.557,2.33,,33.573,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
ASM,American Samoa,2016,,,,,0.0,0.0,0.0,,705.882,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.17,0.17,0.274,0.004,25895.062,,,,3049.929,0.17,,,100.0,,,,,0.0,0.0,,,,,,0.0,,,0.12,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,3049.929,0.17,,,,,,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,3049.929,55739.0,1.443,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
ATG,Antigua and Barbuda,2016,,,,,0.0,0.0,0.0,,666.667,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.33,0.33,1.501,0.046,32681.267,,,,3385.527,0.32,,,96.97,,,,,0.0,0.0,,,,,,0.0,,,0.22,,,,0.0,0.0,,0.0,,,,,105.798,0.01,,3.03,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,3385.527,0.32,,,,,,96.97,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,3491.325,94520.0,3.089,,,,105.798,0.01,,3.03,,,,,105.798,0.01,,3.03,,,,,0.0,0.0,,0.0,
