,Entity,Code,Year,Continent,Entity3,Year3,world-regions-according-to-the-united-nations,Entity2,Year2,WHO region,Entity1,Year1,World Region according to the World Bank
0,Abkhazia,OWID_ABK,2015.0,Asia,,,,,,,,,
1,Afghanistan,AFG,2015.0,Asia,Afghanistan,2021.0,Central and Southern Asia,Afghanistan,2020.0,Eastern Mediterranean,Afghanistan,2017.0,South Asia
2,Akrotiri and Dhekelia,OWID_AKD,2015.0,Asia,,,,,,,,,
3,Albania,ALB,2015.0,Europe,Albania,2021.0,Europe and Northern America,Albania,2020.0,Europe,Albania,2017.0,Europe and Central Asia
4,Algeria,DZA,2015.0,Africa,Algeria,2021.0,Northern Africa and Western Asia,Algeria,2020.0,Africa,Algeria,2017.0,Middle East and North Africa
5,American Samoa,ASM,2015.0,Oceania,American Samoa,2021.0,Oceania,,,,American Samoa,2017.0,East Asia and Pacific
6,Andorra,AND,2015.0,Europe,Andorra,2021.0,Europe and Northern America,Andorra,2020.0,Europe,Andorra,2017.0,Europe and Central Asia
7,Angola,AGO,2015.0,Africa,Angola,2021.0,Sub-Saharan Africa,Angola,2020.0,Africa,Angola,2017.0,Sub-Saharan Africa
8,Anguilla,AIA,2015.0,North America,Anguilla,2021.0,Latin America and Caribbean,,,,,,
9,Antarctica,ATA,2015.0,Antarctica,,,,,,,,,
10,Antigua and Barbuda,ATG,2015.0,North America,Antigua and Barbuda,2021.0,Latin America and Caribbean,Antigua and Barbuda,2020.0,Americas,Antigua and Barbuda,2017.0,Latin America and Caribbean
11,Argentina,ARG,2015.0,South America,Argentina,2021.0,Latin America and Caribbean,Argentina,2020.0,Americas,Argentina,2017.0,Latin America and Caribbean
12,Armenia,ARM,2015.0,Asia,Armenia,2021.0,Northern Africa and Western Asia,Armenia,2020.0,Europe,Armenia,2017.0,Europe and Central Asia
13,Aruba,ABW,2015.0,North America,Aruba,2021.0,Latin America and Caribbean,,,,Aruba,2017.0,Latin America and Caribbean
14,Australia,AUS,2015.0,Oceania,Australia,2021.0,Oceania,Australia,2020.0,Western Pacific,Australia,2017.0,East Asia and Pacific
15,Austria,AUT,2015.0,Europe,Austria,2021.0,Europe and Northern America,Austria,2020.0,Europe,Austria,2017.0,Europe and Central Asia
16,Austria-Hungary,OWID_AUH,2015.0,Europe,,,,,,,,,
17,Azerbaijan,AZE,2015.0,Asia,Azerbaijan,2021.0,Northern Africa and Western Asia,Azerbaijan,2020.0,Europe,Azerbaijan,2017.0,Europe and Central Asia
18,Baden,OWID_BAD,2015.0,Europe,,,,,,,,,
19,Bahamas,BHS,2015.0,North America,Bahamas,2021.0,Latin America and Caribbean,Bahamas,2020.0,Americas,Bahamas,2017.0,Latin America and Caribbean
20,Bahrain,BHR,2015.0,Asia,Bahrain,2021.0,Northern Africa and Western Asia,Bahrain,2020.0,Eastern Mediterranean,Bahrain,2017.0,Middle East and North Africa
21,Bangladesh,BGD,2015.0,Asia,Bangladesh,2021.0,Central and Southern Asia,Bangladesh,2020.0,South-East Asia,Bangladesh,2017.0,South Asia
22,Barbados,BRB,2015.0,North America,Barbados,2021.0,Latin America and Caribbean,Barbados,2020.0,Americas,Barbados,2017.0,Latin America and Caribbean
23,Bavaria,OWID_BAV,2015.0,Europe,,,,,,,,,
24,Belarus,BLR,2015.0,Europe,Belarus,2021.0,Europe and Northern America,Belarus,2020.0,Europe,Belarus,2017.0,Europe and Central Asia
25,Belgium,BEL,2015.0,Europe,Belgium,2021.0,Europe and Northern America,Belgium,2020.0,Europe,Belgium,2017.0,Europe and Central Asia
26,Belize,BLZ,2015.0,North America,Belize,2021.0,Latin America and Caribbean,Belize,2020.0,Americas,Belize,2017.0,Latin America and Caribbean
27,Benin,BEN,2015.0,Africa,Benin,2021.0,Sub-Saharan Africa,Benin,2020.0,Africa,Benin,2017.0,Sub-Saharan Africa
28,Bermuda,BMU,2015.0,North America,Bermuda,2021.0,Europe and Northern America,,,,Bermuda,2017.0,North America
29,Bhutan,BTN,2015.0,Asia,Bhutan,2021.0,Central and Southern Asia,Bhutan,2020.0,South-East Asia,Bhutan,2017.0,South Asia
30,Bolivia,BOL,2015.0,South America,Bolivia,2021.0,Latin America and Caribbean,Bolivia,2020.0,Americas,Bolivia,2017.0,Latin America and Caribbean
31,Bonaire Sint Eustatius and Saba,BES,2015.0,North America,Bonaire Sint Eustatius and Saba,2021.0,Latin America and Caribbean,,,,,,
32,Bosnia and Herzegovina,BIH,2015.0,Europe,Bosnia and Herzegovina,2021.0,Europe and Northern America,Bosnia and Herzegovina,2020.0,Europe,Bosnia and Herzegovina,2017.0,Europe and Central Asia
33,Botswana,BWA,2015.0,Africa,Botswana,2021.0,Sub-Saharan Africa,Botswana,2020.0,Africa,Botswana,2017.0,Sub-Saharan Africa
34,Bouvet Island,BVT,2015.0,Antarctica,,,,,,,,,
35,Brazil,BRA,2015.0,South America,Brazil,2021.0,Latin America and Caribbean,Brazil,2020.0,Americas,Brazil,2017.0,Latin America and Caribbean
36,British Indian Ocean Territory,IOT,2015.0,Asia,,,,,,,,,
37,British Virgin Islands,VGB,2015.0,North America,British Virgin Islands,2021.0,Latin America and Caribbean,,,,British Virgin Islands,2017.0,Latin America and Caribbean
38,Brunei,BRN,2015.0,Asia,Brunei,2021.0,Eastern and South-Eastern Asia,Brunei,2020.0,Western Pacific,Brunei,2017.0,East Asia and Pacific
39,Bulgaria,BGR,2015.0,Europe,Bulgaria,2021.0,Europe and Northern America,Bulgaria,2020.0,Europe,Bulgaria,2017.0,Europe and Central Asia
40,Burkina Faso,BFA,2015.0,Africa,Burkina Faso,2021.0,Sub-Saharan Africa,Burkina Faso,2020.0,Africa,Burkina Faso,2017.0,Sub-Saharan Africa
41,Burundi,BDI,2015.0,Africa,Burundi,2021.0,Sub-Saharan Africa,Burundi,2020.0,Africa,Burundi,2017.0,Sub-Saharan Africa
42,Cambodia,KHM,2015.0,Asia,Cambodia,2021.0,Eastern and South-Eastern Asia,Cambodia,2020.0,Western Pacific,Cambodia,2017.0,East Asia and Pacific
43,Cameroon,CMR,2015.0,Africa,Cameroon,2021.0,Sub-Saharan Africa,Cameroon,2020.0,Africa,Cameroon,2017.0,Sub-Saharan Africa
44,Canada,CAN,2015.0,North America,Canada,2021.0,Europe and Northern America,Canada,2020.0,Americas,Canada,2017.0,North America
45,Cape Verde,CPV,2015.0,Africa,Cape Verde,2021.0,Sub-Saharan Africa,Cape Verde,2020.0,Africa,Cape Verde,2017.0,Sub-Saharan Africa
46,Cayman Islands,CYM,2015.0,North America,Cayman Islands,2021.0,Latin America and Caribbean,,,,Cayman Islands,2017.0,Latin America and Caribbean
47,Central African Republic,CAF,2015.0,Africa,Central African Republic,2021.0,Sub-Saharan Africa,Central African Republic,2020.0,Africa,Central African Republic,2017.0,Sub-Saharan Africa
48,Chad,TCD,2015.0,Africa,Chad,2021.0,Sub-Saharan Africa,Chad,2020.0,Africa,Chad,2017.0,Sub-Saharan Africa
49,Channel Islands,OWID_CIS,2015.0,Europe,Channel Islands,2021.0,Europe and Northern America,,,,Channel Islands,2017.0,Europe and Central Asia
50,Chile,CHL,2015.0,South America,Chile,2021.0,Latin America and Caribbean,Chile,2020.0,Americas,Chile,2017.0,Latin America and Caribbean
51,China,CHN,2015.0,Asia,China,2021.0,Eastern and South-Eastern Asia,China,2020.0,Western Pacific,China,2017.0,East Asia and Pacific
52,Christmas Island,CXR,2015.0,Asia,Christmas Island,2021.0,Oceania,,,,,,
53,Cocos Islands,CCK,2015.0,Asia,,,,,,,,,
54,Colombia,COL,2015.0,South America,Colombia,2021.0,Latin America and Caribbean,Colombia,2020.0,Americas,Colombia,2017.0,Latin America and Caribbean
55,Comoros,COM,2015.0,Africa,Comoros,2021.0,Sub-Saharan Africa,Comoros,2020.0,Africa,Comoros,2017.0,Sub-Saharan Africa
56,Congo,COG,2015.0,Africa,Congo,2021.0,Sub-Saharan Africa,Congo,2020.0,Africa,Congo,2017.0,Sub-Saharan Africa
57,Cook Islands,COK,2015.0,Oceania,Cook Islands,2021.0,Oceania,Cook Islands,2020.0,Western Pacific,,,
58,Costa Rica,CRI,2015.0,North America,Costa Rica,2021.0,Latin America and Caribbean,Costa Rica,2020.0,Americas,Costa Rica,2017.0,Latin America and Caribbean
59,Cote d'Ivoire,CIV,2015.0,Africa,Cote d'Ivoire,2021.0,Sub-Saharan Africa,Cote d'Ivoire,2020.0,Africa,Cote d'Ivoire,2017.0,Sub-Saharan Africa
60,Croatia,HRV,2015.0,Europe,Croatia,2021.0,Europe and Northern America,Croatia,2020.0,Europe,Croatia,2017.0,Europe and Central Asia
