,StateCode,Year,Attribute,Data
29120,AK,2000,Biodiesel->Transportation,0.0
29121,AK,2001,Biodiesel->Transportation,7.0
29122,AK,2002,Biodiesel->Transportation,12.0
29123,AK,2003,Biodiesel->Transportation,10.0
29124,AK,2004,Biodiesel->Transportation,19.0
29125,AK,2005,Biodiesel->Transportation,64.0
29126,AK,2006,Biodiesel->Transportation,184.0
29127,AK,2007,Biodiesel->Transportation,249.0
29128,AK,2008,Biodiesel->Transportation,214.0
29129,AK,2009,Biodiesel->Transportation,227.0
29130,AK,2010,Biodiesel->Transportation,183.0
29131,AK,2011,Biodiesel->Transportation,624.0
29132,AK,2012,Biodiesel->Transportation,35.0
29133,AK,2013,Biodiesel->Transportation,302.0
29134,AK,2014,Biodiesel->Transportation,917.0
29135,AK,2015,Biodiesel->Transportation,42.0
29136,AK,2016,Biodiesel->Transportation,1133.0
29137,AK,2017,Biodiesel->Transportation,858.0
29138,AK,2018,Biodiesel->Transportation,858.0
29139,AK,2019,Biodiesel->Transportation,858.0
29140,AL,2000,Biodiesel->Transportation,0.0
29141,AL,2001,Biodiesel->Transportation,25.0
29142,AL,2002,Biodiesel->Transportation,39.0
29143,AL,2003,Biodiesel->Transportation,32.0
29144,AL,2004,Biodiesel->Transportation,64.0
29145,AL,2005,Biodiesel->Transportation,218.0
29146,AL,2006,Biodiesel->Transportation,626.0
29147,AL,2007,Biodiesel->Transportation,849.0
29148,AL,2008,Biodiesel->Transportation,729.0
29149,AL,2009,Biodiesel->Transportation,772.0
29150,AL,2010,Biodiesel->Transportation,624.0
29151,AL,2011,Biodiesel->Transportation,2127.0
29152,AL,2012,Biodiesel->Transportation,2628.0
29153,AL,2013,Biodiesel->Transportation,4441.0
29154,AL,2014,Biodiesel->Transportation,3354.0
29155,AL,2015,Biodiesel->Transportation,4257.0
29156,AL,2016,Biodiesel->Transportation,7025.0
29157,AL,2017,Biodiesel->Transportation,5822.0
29158,AL,2018,Biodiesel->Transportation,5785.0
29159,AL,2019,Biodiesel->Transportation,5205.0
29160,AR,2000,Biodiesel->Transportation,0.0
29161,AR,2001,Biodiesel->Transportation,21.0
29162,AR,2002,Biodiesel->Transportation,34.0
29163,AR,2003,Biodiesel->Transportation,28.0
29164,AR,2004,Biodiesel->Transportation,56.0
29165,AR,2005,Biodiesel->Transportation,188.0
29166,AR,2006,Biodiesel->Transportation,540.0
29167,AR,2007,Biodiesel->Transportation,732.0
29168,AR,2008,Biodiesel->Transportation,628.0
29169,AR,2009,Biodiesel->Transportation,666.0
29170,AR,2010,Biodiesel->Transportation,538.0
29171,AR,2011,Biodiesel->Transportation,1834.0
29172,AR,2012,Biodiesel->Transportation,2050.0
29173,AR,2013,Biodiesel->Transportation,3851.0
29174,AR,2014,Biodiesel->Transportation,2861.0
29175,AR,2015,Biodiesel->Transportation,3191.0
29176,AR,2016,Biodiesel->Transportation,4710.0
29177,AR,2017,Biodiesel->Transportation,4022.0
29178,AR,2018,Biodiesel->Transportation,4505.0
29179,AR,2019,Biodiesel->Transportation,3996.0
29180,AZ,2000,Biodiesel->Transportation,0.0
29181,AZ,2001,Biodiesel->Transportation,13.0
29182,AZ,2002,Biodiesel->Transportation,21.0
29183,AZ,2003,Biodiesel->Transportation,17.0
29184,AZ,2004,Biodiesel->Transportation,34.0
29185,AZ,2005,Biodiesel->Transportation,114.0
29186,AZ,2006,Biodiesel->Transportation,328.0
29187,AZ,2007,Biodiesel->Transportation,444.0
29188,AZ,2008,Biodiesel->Transportation,381.0
29189,AZ,2009,Biodiesel->Transportation,404.0
29190,AZ,2010,Biodiesel->Transportation,327.0
29191,AZ,2011,Biodiesel->Transportation,1113.0
29192,AZ,2012,Biodiesel->Transportation,65.0
29193,AZ,2013,Biodiesel->Transportation,602.0
29194,AZ,2014,Biodiesel->Transportation,1792.0
29195,AZ,2015,Biodiesel->Transportation,75.0
29196,AZ,2016,Biodiesel->Transportation,2623.0
29197,AZ,2017,Biodiesel->Transportation,2208.0
29198,AZ,2018,Biodiesel->Transportation,2208.0
29199,AZ,2019,Biodiesel->Transportation,2208.0
29200,CA,2000,Biodiesel->Transportation,0.0
29201,CA,2001,Biodiesel->Transportation,19.0
29202,CA,2002,Biodiesel->Transportation,30.0
29203,CA,2003,Biodiesel->Transportation,24.0
29204,CA,2004,Biodiesel->Transportation,48.0
29205,CA,2005,Biodiesel->Transportation,164.0
29206,CA,2006,Biodiesel->Transportation,471.0
29207,CA,2007,Biodiesel->Transportation,639.0
29208,CA,2008,Biodiesel->Transportation,548.0
29209,CA,2009,Biodiesel->Transportation,581.0
29210,CA,2010,Biodiesel->Transportation,469.0
29211,CA,2011,Biodiesel->Transportation,1600.0
29212,CA,2012,Biodiesel->Transportation,2549.0
29213,CA,2013,Biodiesel->Transportation,7643.0
29214,CA,2014,Biodiesel->Transportation,8523.0
29215,CA,2015,Biodiesel->Transportation,16134.0
29216,CA,2016,Biodiesel->Transportation,20843.0
29217,CA,2017,Biodiesel->Transportation,21692.0
29218,CA,2018,Biodiesel->Transportation,23539.0
29219,CA,2019,Biodiesel->Transportation,27005.0
29220,CO,2000,Biodiesel->Transportation,0.0
29221,CO,2001,Biodiesel->Transportation,3.0
29222,CO,2002,Biodiesel->Transportation,4.0
29223,CO,2003,Biodiesel->Transportation,4.0
29224,CO,2004,Biodiesel->Transportation,7.0
29225,CO,2005,Biodiesel->Transportation,24.0
29226,CO,2006,Biodiesel->Transportation,70.0
29227,CO,2007,Biodiesel->Transportation,95.0
29228,CO,2008,Biodiesel->Transportation,82.0
29229,CO,2009,Biodiesel->Transportation,86.0
29230,CO,2010,Biodiesel->Transportation,70.0
29231,CO,2011,Biodiesel->Transportation,238.0
29232,CO,2012,Biodiesel->Transportation,450.0
29233,CO,2013,Biodiesel->Transportation,301.0
29234,CO,2014,Biodiesel->Transportation,632.0
29235,CO,2015,Biodiesel->Transportation,287.0
29236,CO,2016,Biodiesel->Transportation,1013.0
29237,CO,2017,Biodiesel->Transportation,715.0
29238,CO,2018,Biodiesel->Transportation,865.0
29239,CO,2019,Biodiesel->Transportation,1532.0
29240,CT,2000,Biodiesel->Transportation,0.0
29241,CT,2001,Biodiesel->Transportation,4.0
29242,CT,2002,Biodiesel->Transportation,6.0
