,StateCode,Year,MSN,Data
0,AK,2000,Solar,0.0
1,AK,2001,Solar,0.0
2,AK,2002,Solar,0.0
3,AK,2003,Solar,0.0
4,AK,2004,Solar,0.0
5,AK,2005,Solar,0.0
6,AK,2006,Solar,0.0
7,AK,2007,Solar,0.0
8,AK,2008,Solar,2.0
9,AK,2009,Solar,3.0
10,AK,2010,Solar,3.0
11,AK,2011,Solar,3.0
12,AK,2012,Solar,3.0
13,AK,2013,Solar,3.0
14,AK,2014,Solar,3.0
15,AK,2015,Solar,3.0
16,AK,2016,Solar,14.0
17,AK,2017,Solar,20.0
18,AK,2018,Solar,28.0
19,AK,2019,Solar,40.0
20,AL,2000,Solar,113.0
21,AL,2001,Solar,97.0
22,AL,2002,Solar,82.0
23,AL,2003,Solar,68.0
24,AL,2004,Solar,54.0
25,AL,2005,Solar,53.0
26,AL,2006,Solar,62.0
27,AL,2007,Solar,63.0
28,AL,2008,Solar,64.0
29,AL,2009,Solar,62.0
30,AL,2010,Solar,68.0
31,AL,2011,Solar,71.0
32,AL,2012,Solar,78.0
33,AL,2013,Solar,97.0
34,AL,2014,Solar,100.0
35,AL,2015,Solar,101.0
36,AL,2016,Solar,431.0
37,AL,2017,Solar,1812.0
38,AL,2018,Solar,3425.0
39,AL,2019,Solar,3628.0
40,AR,2000,Solar,795.0
41,AR,2001,Solar,642.0
42,AR,2002,Solar,500.0
43,AR,2003,Solar,367.0
44,AR,2004,Solar,239.0
45,AR,2005,Solar,90.0
46,AR,2006,Solar,94.0
47,AR,2007,Solar,53.0
48,AR,2008,Solar,53.0
49,AR,2009,Solar,59.0
50,AR,2010,Solar,80.0
51,AR,2011,Solar,85.0
52,AR,2012,Solar,100.0
53,AR,2013,Solar,108.0
54,AR,2014,Solar,111.0
55,AR,2015,Solar,124.0
56,AR,2016,Solar,372.0
57,AR,2017,Solar,442.0
58,AR,2018,Solar,2117.0
59,AR,2019,Solar,2256.0
60,AZ,2000,Solar,3344.0
61,AZ,2001,Solar,3086.0
62,AZ,2002,Solar,2877.0
63,AZ,2003,Solar,2760.0
64,AZ,2004,Solar,2672.0
65,AZ,2005,Solar,2574.0
66,AZ,2006,Solar,2661.0
67,AZ,2007,Solar,2749.0
68,AZ,2008,Solar,3112.0
69,AZ,2009,Solar,3445.0
70,AZ,2010,Solar,4518.0
71,AZ,2011,Solar,7604.0
72,AZ,2012,Solar,18096.0
73,AZ,2013,Solar,31405.0
74,AZ,2014,Solar,43566.0
75,AZ,2015,Solar,48229.0
76,AZ,2016,Solar,52854.0
77,AZ,2017,Solar,66318.0
78,AZ,2018,Solar,70779.0
79,AZ,2019,Solar,73265.0
80,CA,2000,Solar,23073.0
81,CA,2001,Solar,22960.0
82,CA,2002,Solar,22418.0
83,CA,2003,Solar,21857.0
84,CA,2004,Solar,22216.0
85,CA,2005,Solar,22115.0
86,CA,2006,Solar,23341.0
87,CA,2007,Solar,25804.0
88,CA,2008,Solar,29985.0
89,CA,2009,Solar,31297.0
90,CA,2010,Solar,36006.0
91,CA,2011,Solar,41816.0
92,CA,2012,Solar,53911.0
93,CA,2013,Solar,84832.0
94,CA,2014,Solar,156459.0
95,CA,2015,Solar,211839.0
96,CA,2016,Solar,267538.0
97,CA,2017,Solar,340363.0
98,CA,2018,Solar,381618.0
99,CA,2019,Solar,405668.0
100,CO,2000,Solar,221.0
101,CO,2001,Solar,212.0
102,CO,2002,Solar,205.0
103,CO,2003,Solar,199.0
104,CO,2004,Solar,193.0
105,CO,2005,Solar,206.0
106,CO,2006,Solar,232.0
107,CO,2007,Solar,308.0
108,CO,2008,Solar,819.0
109,CO,2009,Solar,1148.0
110,CO,2010,Solar,1808.0
111,CO,2011,Solar,2865.0
112,CO,2012,Solar,3886.0
113,CO,2013,Solar,5186.0
114,CO,2014,Solar,6045.0
115,CO,2015,Solar,6270.0
116,CO,2016,Solar,9509.0
